Running 1m test @ http://erik-pc.local:8080/fruits
  4 threads and 100 connections
  Thread calibration: mean lat.: 15.837ms, rate sampling interval: 70ms
  Thread calibration: mean lat.: 17.736ms, rate sampling interval: 75ms
  Thread calibration: mean lat.: 17.036ms, rate sampling interval: 72ms
  Thread calibration: mean lat.: 18.835ms, rate sampling interval: 81ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    18.72ms   20.53ms 354.56ms   90.68%
    Req/Sec     4.66k     1.19k    7.36k    63.53%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   14.75ms
 75.000%   28.93ms
 90.000%   38.62ms
 99.000%   98.43ms
 99.900%  198.14ms
 99.990%  306.43ms
 99.999%  340.22ms
100.000%  354.82ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.449     0.000000            1         1.00
       1.371     0.100000        92367         1.11
       1.888     0.200000       184597         1.25
       3.207     0.300000       276759         1.43
       8.903     0.400000       369030         1.67
      14.751     0.500000       461250         2.00
      17.647     0.550000       507371         2.22
      20.527     0.600000       553648         2.50
      23.343     0.650000       599547         2.86
      26.159     0.700000       645832         3.33
      28.927     0.750000       691825         4.00
      30.319     0.775000       714947         4.44
      31.727     0.800000       737935         5.00
      33.215     0.825000       761344         5.71
      34.751     0.850000       784244         6.67
      36.511     0.875000       807408         8.00
      37.503     0.887500       818690         8.89
      38.623     0.900000       830390        10.00
      39.871     0.912500       841707        11.43
      41.375     0.925000       853255        13.33
      43.295     0.937500       864778        16.00
      44.543     0.943750       870521        17.78
      46.111     0.950000       876303        20.00
      48.351     0.956250       882052        22.86
      51.807     0.962500       887783        26.67
      56.799     0.968750       893570        32.00
      59.935     0.971875       896434        35.56
      63.551     0.975000       899322        40.00
      68.159     0.978125       902210        45.71
      74.303     0.981250       905092        53.33
      81.535     0.984375       907968        64.00
      85.503     0.985938       909393        71.11
      89.983     0.987500       910837        80.00
      95.039     0.989062       912282        91.43
     100.607     0.990625       913718       106.67
     107.135     0.992188       915171       128.00
     110.847     0.992969       915886       142.22
     115.007     0.993750       916600       160.00
     120.063     0.994531       917324       182.86
     125.887     0.995313       918045       213.33
     132.991     0.996094       918761       256.00
     136.959     0.996484       919123       284.44
     141.439     0.996875       919484       320.00
     146.687     0.997266       919842       365.71
     152.703     0.997656       920205       426.67
     160.895     0.998047       920563       512.00
     166.527     0.998242       920745       568.89
     172.927     0.998437       920922       640.00
     180.351     0.998633       921102       731.43
     189.823     0.998828       921284       853.33
     199.295     0.999023       921463      1024.00
     204.799     0.999121       921557      1137.78
     210.303     0.999219       921643      1280.00
     217.087     0.999316       921733      1462.86
     225.407     0.999414       921823      1706.67
     235.647     0.999512       921913      2048.00
     241.151     0.999561       921958      2275.56
     246.783     0.999609       922003      2560.00
     252.415     0.999658       922048      2925.71
     258.687     0.999707       922093      3413.33
     268.287     0.999756       922138      4096.00
     273.663     0.999780       922162      4551.11
     280.831     0.999805       922183      5120.00
     287.231     0.999829       922206      5851.43
     292.607     0.999854       922228      6826.67
     300.799     0.999878       922252      8192.00
     303.871     0.999890       922262      9102.22
     307.455     0.999902       922274     10240.00
     310.271     0.999915       922285     11702.86
     314.879     0.999927       922296     13653.33
     318.975     0.999939       922308     16384.00
     321.023     0.999945       922313     18204.44
     322.815     0.999951       922319     20480.00
     324.351     0.999957       922324     23405.71
     326.655     0.999963       922332     27306.67
     328.703     0.999969       922335     32768.00
     329.727     0.999973       922341     36408.89
     329.727     0.999976       922341     40960.00
     332.287     0.999979       922344     46811.43
     334.079     0.999982       922347     54613.33
     334.847     0.999985       922349     65536.00
     337.151     0.999986       922351     72817.78
     337.663     0.999988       922352     81920.00
     340.223     0.999989       922354     93622.86
     342.783     0.999991       922356    109226.67
     342.783     0.999992       922356    131072.00
     345.087     0.999993       922357    145635.56
     345.343     0.999994       922358    163840.00
     347.391     0.999995       922359    187245.71
     347.391     0.999995       922359    218453.33
     347.903     0.999996       922360    262144.00
     347.903     0.999997       922360    291271.11
     350.463     0.999997       922361    327680.00
     350.463     0.999997       922361    374491.43
     350.463     0.999998       922361    436906.67
     353.023     0.999998       922362    524288.00
     353.023     0.999998       922362    582542.22
     353.023     0.999998       922362    655360.00
     353.023     0.999999       922362    748982.86
     353.023     0.999999       922362    873813.33
     354.815     0.999999       922363   1048576.00
     354.815     1.000000       922363          inf
#[Mean    =       18.725, StdDeviation   =       20.527]
#[Max     =      354.560, Total count    =       922363]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1108121 requests in 1.00m, 179.65MB read
Requests/sec:  18465.95
Transfer/sec:      2.99MB
