Running 1m test @ http://erik-pc.local:8080/greeting/Bob
  4 threads and 100 connections
  Thread calibration: mean lat.: 30.023ms, rate sampling interval: 113ms
  Thread calibration: mean lat.: 31.306ms, rate sampling interval: 116ms
  Thread calibration: mean lat.: 30.106ms, rate sampling interval: 113ms
  Thread calibration: mean lat.: 33.307ms, rate sampling interval: 117ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    35.18ms   22.84ms 240.38ms   68.20%
    Req/Sec     8.53k     1.46k   13.56k    70.33%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   34.91ms
 75.000%   50.94ms
 90.000%   60.61ms
 99.000%  101.38ms
 99.900%  156.80ms
 99.990%  217.21ms
 99.999%  233.47ms
100.000%  240.51ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.205     0.000000            1         1.00
       4.679     0.100000       169416         1.11
      13.535     0.200000       338822         1.25
      21.071     0.300000       508347         1.43
      28.095     0.400000       677963         1.67
      34.911     0.500000       847600         2.00
      38.239     0.550000       932329         2.22
      41.503     0.600000      1016627         2.50
      44.735     0.650000      1101704         2.86
      47.871     0.700000      1186013         3.33
      50.943     0.750000      1271291         4.00
      52.415     0.775000      1313274         4.44
      53.887     0.800000      1355934         5.00
      55.359     0.825000      1398045         5.71
      56.895     0.850000      1440103         6.67
      58.623     0.875000      1482870         8.00
      59.583     0.887500      1504162         8.89
      60.607     0.900000      1524784        10.00
      61.887     0.912500      1546156        11.43
      63.423     0.925000      1567096        13.33
      65.599     0.937500      1588459        16.00
      67.071     0.943750      1599147        17.78
      68.863     0.950000      1609436        20.00
      71.167     0.956250      1620045        22.86
      73.983     0.962500      1630665        26.67
      77.503     0.968750      1641228        32.00
      79.615     0.971875      1646567        35.56
      81.983     0.975000      1651858        40.00
      84.735     0.978125      1657125        45.71
      87.935     0.981250      1662392        53.33
      91.711     0.984375      1667665        64.00
      93.887     0.985938      1670284        71.11
      96.447     0.987500      1672959        80.00
      99.391     0.989062      1675571        91.43
     102.911     0.990625      1678223       106.67
     107.135     0.992188      1680871       128.00
     109.631     0.992969      1682192       142.22
     112.447     0.993750      1683511       160.00
     115.455     0.994531      1684826       182.86
     118.911     0.995313      1686146       213.33
     123.007     0.996094      1687464       256.00
     125.375     0.996484      1688124       284.44
     127.999     0.996875      1688794       320.00
     131.199     0.997266      1689465       365.71
     134.911     0.997656      1690119       426.67
     139.135     0.998047      1690773       512.00
     141.951     0.998242      1691118       568.89
     145.023     0.998437      1691441       640.00
     148.479     0.998633      1691769       731.43
     152.575     0.998828      1692094       853.33
     157.439     0.999023      1692426      1024.00
     160.511     0.999121      1692590      1137.78
     164.223     0.999219      1692761      1280.00
     167.807     0.999316      1692922      1462.86
     172.799     0.999414      1693087      1706.67
     178.175     0.999512      1693250      2048.00
     181.119     0.999561      1693336      2275.56
     184.319     0.999609      1693416      2560.00
     188.031     0.999658      1693498      2925.71
     192.255     0.999707      1693581      3413.33
     197.887     0.999756      1693667      4096.00
     201.087     0.999780      1693706      4551.11
     204.671     0.999805      1693748      5120.00
     207.999     0.999829      1693789      5851.43
     211.071     0.999854      1693831      6826.67
     214.527     0.999878      1693872      8192.00
     215.935     0.999890      1693892      9102.22
     217.343     0.999902      1693912     10240.00
     219.135     0.999915      1693933     11702.86
     221.055     0.999927      1693954     13653.33
     222.847     0.999939      1693974     16384.00
     223.615     0.999945      1693984     18204.44
     224.895     0.999951      1693995     20480.00
     226.175     0.999957      1694005     23405.71
     227.327     0.999963      1694017     27306.67
     228.607     0.999969      1694026     32768.00
     229.119     0.999973      1694031     36408.89
     229.759     0.999976      1694036     40960.00
     230.527     0.999979      1694041     46811.43
     231.167     0.999982      1694046     54613.33
     231.935     0.999985      1694052     65536.00
     232.191     0.999986      1694054     72817.78
     233.215     0.999988      1694057     81920.00
     233.471     0.999989      1694061     93622.86
     233.599     0.999991      1694062    109226.67
     235.007     0.999992      1694065    131072.00
     235.135     0.999993      1694066    145635.56
     235.263     0.999994      1694067    163840.00
     236.159     0.999995      1694068    187245.71
     236.543     0.999995      1694070    218453.33
     236.671     0.999996      1694071    262144.00
     237.567     0.999997      1694072    291271.11
     237.567     0.999997      1694072    327680.00
     237.823     0.999997      1694073    374491.43
     237.951     0.999998      1694074    436906.67
     237.951     0.999998      1694074    524288.00
     239.103     0.999998      1694076    582542.22
     239.103     0.999998      1694076    655360.00
     239.103     0.999999      1694076    748982.86
     239.103     0.999999      1694076    873813.33
     239.103     0.999999      1694076   1048576.00
     239.103     0.999999      1694076   1165084.44
     239.103     0.999999      1694076   1310720.00
     239.103     0.999999      1694076   1497965.71
     240.511     0.999999      1694077   1747626.67
     240.511     1.000000      1694077          inf
#[Mean    =       35.181, StdDeviation   =       22.838]
#[Max     =      240.384, Total count    =      1694077]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  2027902 requests in 1.00m, 168.25MB read
Requests/sec:  33796.48
Transfer/sec:      2.80MB
