Running 1m test @ http://erik-pc.local:8080/fruits
  4 threads and 100 connections
  Thread calibration: mean lat.: 32.196ms, rate sampling interval: 122ms
  Thread calibration: mean lat.: 31.207ms, rate sampling interval: 120ms
  Thread calibration: mean lat.: 38.381ms, rate sampling interval: 154ms
  Thread calibration: mean lat.: 36.733ms, rate sampling interval: 130ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    36.04ms   24.32ms 233.47ms   69.33%
    Req/Sec     3.76k     0.86k    6.62k    64.75%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   35.68ms
 75.000%   51.49ms
 90.000%   62.33ms
 99.000%  110.33ms
 99.900%  167.42ms
 99.990%  202.37ms
 99.999%  226.18ms
100.000%  233.60ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.371     0.000000            1         1.00
       3.701     0.100000        74832         1.11
      12.871     0.200000       149654         1.25
      21.119     0.300000       224598         1.43
      28.687     0.400000       299403         1.67
      35.679     0.500000       374147         2.00
      39.039     0.550000       411759         2.22
      42.271     0.600000       449014         2.50
      45.407     0.650000       486662         2.86
      48.447     0.700000       523989         3.33
      51.487     0.750000       561456         4.00
      53.023     0.775000       579997         4.44
      54.559     0.800000       598883         5.00
      56.159     0.825000       617497         5.71
      57.951     0.850000       636106         6.67
      59.967     0.875000       654750         8.00
      61.055     0.887500       664197         8.89
      62.335     0.900000       673536        10.00
      64.063     0.912500       682791        11.43
      66.431     0.925000       692204        13.33
      69.823     0.937500       701569        16.00
      72.127     0.943750       706177        17.78
      74.687     0.950000       710831        20.00
      77.695     0.956250       715541        22.86
      81.087     0.962500       720259        26.67
      84.991     0.968750       724879        32.00
      87.231     0.971875       727240        35.56
      89.727     0.975000       729539        40.00
      92.671     0.978125       731930        45.71
      95.871     0.981250       734226        53.33
      99.903     0.984375       736552        64.00
     102.271     0.985938       737737        71.11
     105.087     0.987500       738914        80.00
     108.159     0.989062       740064        91.43
     112.063     0.990625       741243       106.67
     116.543     0.992188       742404       128.00
     119.359     0.992969       742983       142.22
     122.495     0.993750       743568       160.00
     126.143     0.994531       744156       182.86
     130.175     0.995313       744738       213.33
     135.039     0.996094       745327       256.00
     137.855     0.996484       745612       284.44
     140.799     0.996875       745903       320.00
     144.255     0.997266       746201       365.71
     147.839     0.997656       746486       426.67
     152.447     0.998047       746786       512.00
     154.879     0.998242       746926       568.89
     157.567     0.998437       747072       640.00
     160.639     0.998633       747220       731.43
     163.839     0.998828       747365       853.33
     167.935     0.999023       747509      1024.00
     169.855     0.999121       747588      1137.78
     172.415     0.999219       747655      1280.00
     174.591     0.999316       747728      1462.86
     177.663     0.999414       747806      1706.67
     180.607     0.999512       747877      2048.00
     182.783     0.999561       747914      2275.56
     184.831     0.999609       747947      2560.00
     186.751     0.999658       747984      2925.71
     189.055     0.999707       748020      3413.33
     191.487     0.999756       748057      4096.00
     193.279     0.999780       748077      4551.11
     194.431     0.999805       748093      5120.00
     196.735     0.999829       748113      5851.43
     198.143     0.999854       748131      6826.67
     200.703     0.999878       748149      8192.00
     201.599     0.999890       748158      9102.22
     202.751     0.999902       748166     10240.00
     205.183     0.999915       748177     11702.86
     206.719     0.999927       748185     13653.33
     208.127     0.999939       748194     16384.00
     210.303     0.999945       748199     18204.44
     210.943     0.999951       748204     20480.00
     213.503     0.999957       748208     23405.71
     214.655     0.999963       748212     27306.67
     216.959     0.999969       748217     32768.00
     218.239     0.999973       748219     36408.89
     219.007     0.999976       748221     40960.00
     220.415     0.999979       748224     46811.43
     222.719     0.999982       748227     54613.33
     222.975     0.999985       748228     65536.00
     223.359     0.999986       748229     72817.78
     223.615     0.999988       748230     81920.00
     226.175     0.999989       748232     93622.86
     226.431     0.999991       748233    109226.67
     226.943     0.999992       748234    131072.00
     226.943     0.999993       748234    145635.56
     229.247     0.999994       748235    163840.00
     229.503     0.999995       748236    187245.71
     229.503     0.999995       748236    218453.33
     229.631     0.999996       748237    262144.00
     229.631     0.999997       748237    291271.11
     229.631     0.999997       748237    327680.00
     230.655     0.999997       748238    374491.43
     230.655     0.999998       748238    436906.67
     230.655     0.999998       748238    524288.00
     230.655     0.999998       748238    582542.22
     230.655     0.999998       748238    655360.00
     233.599     0.999999       748239    748982.86
     233.599     1.000000       748239          inf
#[Mean    =       36.041, StdDeviation   =       24.325]
#[Max     =      233.472, Total count    =       748239]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  895137 requests in 1.00m, 145.12MB read
Requests/sec:  14908.89
Transfer/sec:      2.42MB
